time,north,east,south,west
2,0,0,0,200
360,0,0,0,200
5652,177.29034,104.839455,101.25048,174.02855
10680,52.900875,79.120636,131.23929,190.4671
15706,162.18935,157.30435,175.47417,174.0705
20731,5.6293726,190.2768,174.42958,183.78127
25756,129.85155,132.5569,128.43246,118.84955
30790,16.872179,26.45589,169.76576,176.61674
35812,2.009809,65.51766,31.641138,63.484226
40830,142.21712,114.705505,18.120838,2.5553226
46470,79.332054,115.787384,115.85418,118.49117
51496,9.737265,126.01145,38.922455,128.53903
56539,26.300573,57.745266,113.07771,181.3241
61588,136.17874,2.7212381,108.220634,94.82742
66623,191.87985,154.19821,155.39726,154.15768
71673,73.0044,153.47548,116.14121,164.71904
76688,59.512962,85.032616,138.78223,87.18792
81705,188.62358,135.98935,56.862926,178.54999
86719,49.46084,149.9015,164.33601,133.34389
91734,15.886391,75.54391,13.395977,58.06253
96746,19.046629,23.62622,126.95494,181.28839
101762,165.7085,199.32423,5.346799,105.12897
106783,93.1782,42.68433,95.40584,33.03174
111800,171.3923,164.60321,142.31348,98.88789
116816,0.64327717,61.046505,176.35774,96.89223
121829,70.48652,185.9282,116.95111,135.95251
126844,30.92941,192.7271,76.97328,172.20105
131857,48.40876,61.19497,96.94188,4.6393394
136870,71.828636,118.76437,158.98587,39.063393
141905,91.689125,72.469055,56.549583,161.70483
146917,139.84486,77.947975,11.759114,34.651566
151928,128.57509,194.64215,126.13404,88.86666
156941,173.42941,183.46289,62.644768,196.91998
161955,170.87105,83.48687,31.945658,146.42528
166967,23.328363,111.72075,90.0267,87.29612
171984,113.268456,134.40044,148.71648,12.590349
176996,144.83281,95.0005,107.75771,65.81525
182006,95.05584,104.10398,94.00836,199.6561
187018,73.48113,116.122665,149.26695,185.33125
192029,83.979965,169.79094,155.97523,171.9582
197048,148.77017,51.232304,195.4359,195.84937
202065,3.1630516,63.694477,165.14093,55.584454
207079,139.69017,35.86805,62.411034,5.6915402
212092,89.36322,65.770515,95.989845,26.099693
217106,21.405579,139.84535,93.84176,133.11795
222121,44.49836,163.1694,115.61298,188.08563
227137,154.16255,128.08444,186.60234,0.19388199
232154,122.23644,192.3959,184.34674,119.08425
237164,123.51095,57.364475,19.877148,170.10358
242187,177.58803,68.53384,57.287968,40.57312
247203,115.18673,113.08715,154.55856,9.777964
252212,99.81954,75.63795,35.763264,199.8899
257237,118.50889,25.484716,123.227356,171.61671
262253,147.63884,43.37245,74.276566,99.562225
267266,78.90207,21.308577,140.55556,131.24908
272277,110.48715,67.202255,61.153603,94.28841
277287,153.16443,164.88663,29.792416,192.69221
282298,130.90463,42.919205,60.047924,190.85333
287318,60.35808,121.538635,183.06389,77.92981
292333,40.319157,81.012344,24.667847,32.55309
297344,166.70685,36.690857,51.53687,54.847538
302360,184.24112,42.36802,180.52943,27.240885
307369,194.64435,165.63245,196.06952,125.62648
