time,north,east,south,west
2,0,0,0,200
360,0,0,0,200
5652,177.29034,104.839455,101.25048,174.02855
6003.0,0.0,0.0,0.0,0.0
6188.0,0.0,0.0,0.0,0.0
6343.0,0.0,0.0,0.0,0.0
6408.0,0.0,0.0,0.0,0.0
6469.0,0.0,0.0,0.0,0.0
6529.0,0.0,0.0,0.0,0.0
6594.0,0.0,0.0,0.0,0.0
6651.0,0.0,0.0,0.0,0.0
6709.0,0.0,0.0,0.0,0.0
6763.0,0.0,0.0,0.0,0.0
6821.0,0.0,0.0,0.0,0.0
6878.0,0.0,0.0,0.0,0.0
6931.0,0.0,0.0,0.0,0.0
7000.0,0.0,0.0,0.0,0.0
7059.0,0.0,0.0,0.0,0.0
7115.0,0.0,0.0,0.0,0.0
7172.0,0.0,0.0,0.0,0.0
7230.0,0.0,0.0,0.0,0.0
7282.0,0.0,0.0,0.0,0.0
7344.0,0.0,0.0,0.0,0.0
7402.0,0.0,0.0,0.0,0.0
7455.0,0.0,0.0,0.0,0.0
7518.0,0.0,0.0,0.0,0.0
7569.0,0.0,0.0,0.0,0.0
7619.0,0.0,0.0,0.0,0.0
7669.0,0.0,0.0,0.0,0.0
7719.0,0.0,0.0,0.0,0.0
7774.0,0.0,0.0,0.0,0.0
7827.0,0.0,0.0,0.0,0.0
7879.0,0.0,0.0,0.0,0.0
7932.0,0.0,0.0,0.0,0.0
7998.0,0.0,0.0,0.0,0.0
8051.0,0.0,0.0,0.0,0.0
8100.0,200.0,165.0,200.0,200.0
8153.0,200.0,165.0,200.0,200.0
8203.0,200.0,200.0,200.0,200.0
8258.0,200.0,200.0,200.0,200.0
8309.0,200.0,200.0,200.0,200.0
8361.0,200.0,200.0,200.0,200.0
8415.0,200.0,200.0,200.0,200.0
8465.0,200.0,200.0,200.0,200.0
8520.0,200.0,200.0,200.0,200.0
8574.0,200.0,200.0,200.0,200.0
8623.0,200.0,200.0,200.0,200.0
8684.0,200.0,200.0,200.0,200.0
8735.0,200.0,200.0,200.0,200.0
8788.0,200.0,200.0,200.0,200.0
8839.0,200.0,200.0,200.0,200.0
8892.0,200.0,200.0,200.0,200.0
8943.0,200.0,200.0,200.0,200.0
9013.0,200.0,200.0,200.0,200.0
9071.0,200.0,200.0,200.0,200.0
9129.0,200.0,200.0,200.0,200.0
9188.0,200.0,200.0,200.0,200.0
9246.0,200.0,200.0,200.0,200.0
9297.0,200.0,200.0,200.0,200.0
9350.0,200.0,200.0,200.0,200.0
9401.0,200.0,200.0,200.0,200.0
9453.0,200.0,200.0,200.0,200.0
9518.0,200.0,200.0,200.0,200.0
9571.0,200.0,200.0,200.0,200.0
9623.0,200.0,200.0,200.0,200.0
9673.0,200.0,200.0,200.0,200.0
9725.0,200.0,200.0,200.0,200.0
9776.0,200.0,200.0,200.0,200.0
9828.0,200.0,200.0,200.0,200.0
